AND,Andromeda,Andromedae
ANT,Antlia,Antliae
APS,Apus,Apodis
AQR,Aquarius,Aquarii
AQL,Aquila,Aquilae
ARA,Ara,Arae
ARI,Aries,Arietis
AUR,Auriga,Aurigae
BOO,Boötes,Boötis
CAE,Caelum,Caeli
CAM,Camelopardalis,Camelopardalis
CNC,Cancer,Cancri
CVN,Canes Venatici,Canum Venaticorum
CMA,Canis Major,Canis Majoris
CMI,Canis Minor,Canis Minoris
CAP,Capriornus,Capricorni
CAR,Carina,Carinae
CAS,Cassiopeia,Cassiopeiae
CEN,Centaurus,Centauri
CEP,Cepheus,Cephei
CET,Cetus,Ceti
CAM,Chamaeleon,Chamaeleontis
CIR,Circinis,Circini
COL,Columba,Columbae
COM,Coma Berenices,Comae Berenices
CRA,Corona Australis,Coronae Australis
CRB,Corona Borealis,Coronae Borealis
CRV,Corvus,Corvi
CRA,Crater,Crateris
CRU,Crux,Crucis
CYG,Cygnus,Cygni
DEL,Delphinus,Delphini
DOR,Dorado,Doradus
DRA,Draco,Draconis
EQU,Equuleus,Equulei
ERI,Eridanus,Eridani
FOR,Fornax,Fornacis
GEM,Gemini,Geminorum
GRU,Grus,Gruis
HER,Hercules,Herculis
HOR,Horologium,Horologii
HYA,Hydra,Hydrae
HYI,Hydrus,Hydri
IND,Indus,Indi
LAC,Lacerta,Lacertae
LEO,Leo,Leonis
LMI,Leo Minor,Leonis Minoris
LEP,Lepus,Leporis
LIB,Libra,Librae
LUP,Lupus,Lupi
LYN,Lynx,Lyncis
LYR,Lyra,Lyrae
MEN,Mensa,Mensae
MIC,Microscopium,Microscopii
MON,Monoceros,Monocerotis
MUS,Musca,Muscae
NOR,Norma,Normae
OCT,Octans,Octantis
OPH,Ophiuchus,Ophiuchi
ORI,Orion,Orionis
PAV,Pavo,Pavonis
PEG,Pegasus,Pegasi
PER,Perseus,Persei
PHE,Phoenix,Phoenicis
PIC,Pictor,Pictoris
PSC,Pisces,Piscium
PSA,Piscis Austrinus,Piscis Austrini
PUP,Puppis,Puppis
PYX,Pyxis,Pyxidis
RET,Reticulum,Reticuli
SGE,Sagitta,Sagittae
SGR,Sagittarius,Sagittarii
SCO,Scorpius,Scorpii
SCL,Sculptor,Sculptoris
SCT,Scutum,Scuti
SER,Serpens,Serpentis
SEX,Sextans,Sextantis
TAU,Taurus,Tauri
TEL,Telescopium,Telescopii
TRI,Triangulum,Triangulii
TRA,Triangulum Australe,Triangulii Australis
TUC,Tucana,Tucanae
UMA,Ursa Major,Ursae Majoris
UMI,Ursa Minor,Ursae Minoris
VEL,Vela,Velorum
VIR,Virgo,Virginis
VOL,Volans,Volantis
VUL,Vulpecula,Vulpeculae